iter	Passed	Remaining
286	28804	91633
287	28900	91518
288	29000	91416
289	29103	91326
290	29208	91238
291	29311	91145
292	29412	91048
293	29504	90921
294	29600	90807
295	29708	90731
296	29822	90673
297	29929	90593
298	30030	90494
299	30122	90368
300	30219	90255
301	30313	90137
302	30410	90027
303	30512	89932
304	30614	89835
305	30721	89755
306	30811	89623
307	30916	89537
308	31024	89457
309	31120	89344
310	31221	89246
311	31322	89148
312	31424	89053
313	31519	88937
314	31613	88820
315	31705	88696
316	31802	88586
317	31908	88502
318	32018	88427
319	32130	88359
320	32234	88267
321	32328	88151
322	32422	88033
323	32520	87925
324	32628	87846
325	32730	87749
326	32838	87670
327	32932	87551
328	33024	87430
329	33120	87317
330	33233	87251
331	33340	87167
332	33447	87083
333	33548	86984
334	33645	86876
335	33737	86754
336	33828	86629
337	33929	86529
338	34029	86428
339	34132	86334
340	34236	86244
341	34337	86143
342	34442	86056
343	34539	85947
344	34643	85856
345	34741	85748
346	34836	85636
347	34935	85531
348	35033	85424
349	35128	85313
350	35224	85201
351	35319	85087
352	35418	84985
353	35534	84921
354	35646	84848
355	35746	84748
356	35837	84623
357	35926	84497
358	36022	84388
359	36130	84303
360	36236	84216
361	36337	84117
362	36435	84011
363	36529	83898
364	36625	83787
365	36733	83705
366	36835	83608
367	36934	83504
368	37032	83398
369	37138	83309
370	37231	83192
371	37329	83087
372	37428	82984
373	37529	82885
374	37633	82792
375	37732	82689
376	37839	82604
377	37945	82516
378	38040	82403
379	38136	82295
380	38233	82186
381	38333	82084
382	38440	81998
383	38548	81914
384	38648	81814
385	38743	81703
386	38840	81595
387	38948	81510
388	39073	81462
389	39178	81371
390	39296	81307
391	39392	81196
392	39487	81084
393	39589	80988
394	39704	80916
395	39808	80822
396	39903	80711
397	40007	80618
398	40106	80513
